trad,kangxi,all
的,,旳
是,,昰
在,扗,扗
他,,佗
個,箇,箇
你,伱,伱
上,,丄
著,,箸
下,,丅
時,,旹
裡,裏,裏
為,爲,爲
得,,㝵
去,,厺
以,,㠯
之,,㞢
只,衹,衹
麵,麪,麪
無,無,無
前,,歬
發,,㢭
已,,巳
於,,于
于,,亏
回,,囘
年,,秊
真,眞,眞
兩,,㒳
氣,,气
從,,从
間,閒,閒
明,,朙
法,,灋
才,纔,纔
最,,冣
學,,斅
其,,丌
吧,罷,罷
做,作,作
全,,㒰
西,,㢴
更,,㪅
處,,処
併,幷,幷
並,竝,竝
吃,喫,喫
強,【勥彊】,【勥彊】
電,,电
花,,䔢
雲,,云
似,,佀
五,,㐅
劍,,劒
教,敎,敎
隨,,䢫
週,周,周
星,,曐
青,靑,靑
即,卽,卽
錯,,【錯逪】
雪,,䨮
華,,䔢
沉,沈,沈
格,挌,挌
喝,欱,欱
圍,,囗
夢,,㝱
呼,,嘑
校,【挍挍】,【挍挍】
考,,攷
鬥,,鬭接
雷,,靁
左,,ナ
冰,,仌
澹泊,,憺怕
群,羣,羣
聯,,聮
節,,【節卩】
舉,擧,擧
塊,,凷
床,牀,牀
既,旣,旣
稱,,偁
呆,獃,獃
權衡,,銓衡
春,,萅
草,,艸
史,,㕜
陰,,侌
參,,曑
仙,,仚
仙,,㒨
假,,叚
村,,邨
混,溷,溷
值,値,値
寧,,【寧寍】
獸,,嘼
夏,,夓
善,,譱
袋,,帒
網,,网
窗,,囪
蒙,,冡
暴,,㬥
亡,,亾
鮮,,鱻
鮮,,鱻
創,,刅
奶,嬭,嬭
幻,,㕕
茶,,荼
折,,㪿
軟,輭,耎
累,,纍
奈,柰,柰
殘,,【㱚殘】
尖,,櫼
魯,,鹵
蓋,,葢
概,槩,槩
預,豫,豫
咬,【齩咬】,【齩咬】
晨,,曟
私,,厶
凝,,冰
滾,,混
朵,,朶
島,,㠀
胖,肨,肨
邪,,衺
匆,悤,悤
霧,,霚
貌,,皃
額,頟,頟
蛇,,它
粗,,麤
烏賊,烏鰂,烏鰂
甜,甛,甛
享,,亯
喂,,詴
熊,,能
窮,竆,竆
乘,,椉
獎,奬,奬
飲,飮,飮
燃,,然
吵,訬,訬
鞋,,鞵
褲,,絝
踢,踶,踶
袖,,褎
繁,,䋣
濕,,溼
賢,,臤
刑,㓝,㓝
勾,句,句
仗,,杖
誘,,㕗
黎,,邌
井,,丼
熙,煕,煕
綿,緜,緜
災,,烖
斥,,㡿
裙,,帬
渴,,㵣
歪,竵,竵
貫,,毌
淫,,【婬淫】
頁,葉,葉
帽,,冃
逗,讀號,讀號
韻,,均
翅,,翄
丘,,丠
溪,谿,谿
龜裂,皸裂,皸裂
膝,,厀
疆,,畺
烤,燺,燺
垃,擸,擸
姥,嫽,嫽
丐,,匃
躬,躳,躳
蜂,,蠭
尿,,㞙
歹,歺,歺
殼,㱿,㱿
泊,,洦
餅,餠,餠
裳,,常
冉,,冄
醋,,酢
鈎,鉤,鉤
暮,,莫
蟻,,螘
蛛,,鼄
嗅,,齅
扒,,捌
粥,鬻,鬻
蚊,,蟁
凸,,突
啼,嗁,嗁
凹,,坳 
襪,,韤
么,幺,幺
靴,,鞾
蜘,,䵹
悚,,㦜
蹺,,蹻
卉,,芔
滷,鹵,鹵
秤,稱,稱
匝,帀,帀
冗,宂,宂
粽,糉,糉
虱,蝨,蝨
弁,,㝸
虻,蝱,蝱
懟,㨃,㨃
笄,筓,筓
刈,,乂
孓,孒,孒
